1,0,0
2,0,1
3,0,2
4,0,3
5,0,4
6,0,5
7,0,6
8,0,7
9,0,8
10,0,9
11,0,10
12,0,11
13,0,12
14,0,13
15,0,14
16,0,15
17,1,0
18,1,1
19,1,2
20,1,3
21,1,4
22,1,5
23,1,6
24,1,7
25,1,8
26,1,9
27,1,10
28,1,11
29,1,12
30,1,13
31,1,14
32,1,15
33,2,0
34,2,1
35,2,2
36,2,3
37,2,4
38,2,5
39,2,6
40,2,7
41,2,8
42,2,9
43,2,10
44,2,11
45,2,12
46,2,13
47,2,14
48,2,15
49,3,0
50,3,1
51,3,2
52,3,3
53,3,4
54,3,5
55,3,6
56,3,7
57,3,8
58,3,9
59,3,10
60,3,11
61,3,12
62,3,13
63,3,14
64,3,15
65,4,0
66,4,1
67,4,2
68,4,3
69,4,4
70,4,5
71,4,6
72,4,7
73,4,8
74,4,9
75,4,10
76,4,11
77,4,12
78,4,13
79,4,14
80,4,15
81,5,0
82,5,1
83,5,2
84,5,3
85,5,4
86,5,5
87,5,6
88,5,7
89,5,8
90,5,9
91,5,10
92,5,11
93,5,12
94,5,13
95,5,14
96,5,15
97,6,0
98,6,1
99,6,2
100,6,3
101,6,4
102,6,5
103,6,6
104,6,7
105,6,8
106,6,9
107,6,10
108,6,11
109,6,12
110,6,13
111,6,14
112,6,15
113,7,0
114,7,1
115,7,2
116,7,3
117,7,4
118,7,5
119,7,6
120,7,7
121,7,8
122,7,9
123,7,10
124,7,11
125,7,12
126,7,13
127,7,14
128,7,15
129,8,0
130,8,1
131,8,2
132,8,3
133,8,4
134,8,5
135,8,6
136,8,7
137,8,8
138,8,9
139,8,10
140,8,11
141,8,12
142,8,13
143,8,14
144,8,15
145,9,0
146,9,1
147,9,2
148,9,3
149,9,4
150,9,5
151,9,6
152,9,7
153,9,8
154,9,9
155,9,10
156,9,11
157,9,12
158,9,13
159,9,14
160,9,15
161,10,0
162,10,1
163,10,2
164,10,3
165,10,4
166,10,5
167,10,6
168,10,7
169,10,8
170,10,9
171,10,10
172,10,11
173,10,12
174,10,13
175,10,14
176,10,15
177,11,0
178,11,1
179,11,2
180,11,3
181,11,4
182,11,5
183,11,6
184,11,7
185,11,8
186,11,9
187,11,10
188,11,11
189,11,12
190,11,13
191,11,14
192,11,15
193,12,0
194,12,1
195,12,2
196,12,3
197,12,4
198,12,5
199,12,6
200,12,7
201,12,8
202,12,9
203,12,10
204,12,11
205,12,12
206,12,13
207,12,14
208,12,15
209,13,0
210,13,1
211,13,2
212,13,3
213,13,4
214,13,5
215,13,6
216,13,7
217,13,8
218,13,9
219,13,10
220,13,11
221,13,12
222,13,13
223,13,14
224,13,15
225,14,0
226,14,1
227,14,2
228,14,3
229,14,4
230,14,5
231,14,6
232,14,7
233,14,8
234,14,9
235,14,10
236,14,11
237,14,12
238,14,13
239,14,14
240,14,15
241,15,0
242,15,1
243,15,2
244,15,3
245,15,4
246,15,5
247,15,6
248,15,7
249,15,8
250,15,9
251,15,10
252,15,11
253,15,12
254,15,13
255,15,14
256,15,15
